activity_id,deal_id,activity_type,activity_date,duration_minutes,outcome,notes
ACT_00001,DEAL_0001,Email,2025-03-28,60,Neutral,Already task loss improve move.
ACT_00002,DEAL_0001,Meeting,2026-02-20,60,Negative,See three information record.
ACT_00003,DEAL_0001,Demo,2025-05-06,45,No Response,Imagine reduce doctor attention.
ACT_00004,DEAL_0001,Follow-up,2025-04-30,15,Negative,Situation seek relationship above significant college.
ACT_00005,DEAL_0002,Call,2025-07-25,15,Negative,Interest leg end look design thousand.
ACT_00006,DEAL_0002,Demo,2026-02-08,15,No Response,Realize military say section pass quickly push.
ACT_00007,DEAL_0002,Call,2025-10-22,30,Negative,She should activity all old top.
ACT_00008,DEAL_0003,Email,2025-12-17,15,Neutral,Open head southern.
ACT_00009,DEAL_0003,Demo,2025-12-04,60,Neutral,Policy research small safe rule man.
ACT_00010,DEAL_0003,Follow-up,2025-12-20,15,Neutral,Majority name table sea clear wall general.
ACT_00011,DEAL_0003,Demo,2025-10-28,15,Neutral,Remember bit show argue leader.
ACT_00012,DEAL_0003,Demo,2026-02-19,60,Negative,Help turn member vote within drive teach.
ACT_00013,DEAL_0003,Meeting,2025-12-19,30,Positive,Foot budget sister some sell item father standard.
ACT_00014,DEAL_0003,Follow-up,2025-11-19,90,Positive,Talk good social early site hear animal.
ACT_00015,DEAL_0003,Meeting,2025-10-31,60,Negative,Discuss read gas north.
ACT_00016,DEAL_0004,Meeting,2025-09-13,15,Neutral,Capital partner enter unit four.
ACT_00017,DEAL_0004,Email,2026-02-04,30,No Response,Kid assume majority mother fall lose management.
ACT_00018,DEAL_0004,Meeting,2026-03-10,15,Neutral,Like career for time.
ACT_00019,DEAL_0004,Meeting,2025-11-25,90,Positive,Bad local low once economy.
ACT_00020,DEAL_0004,Demo,2025-12-01,30,Positive,Total today analysis heart along show.
ACT_00021,DEAL_0005,Proposal Sent,2025-06-14,60,Neutral,Collection reflect future friend campaign line.
ACT_00022,DEAL_0005,Meeting,2025-08-15,15,Neutral,Nearly wish true science meeting oil field claim.
ACT_00023,DEAL_0006,Demo,2025-11-23,15,Negative,Vote attorney plant cover prepare.
ACT_00024,DEAL_0006,Follow-up,2025-10-13,15,Positive,Black interview base yet east tough now fast.
