company_id,company_name,industry,size_segment,country,created_at
COMP_0001,Walton Ltd,Logistics,SMB,USA,2024-12-13
COMP_0002,"Cruz, Adams and Landry",Manufacturing,SMB,USA,2023-12-28
COMP_0003,Allen-Gonzales,Logistics,Mid-Market,Germany,2024-12-07
COMP_0004,"Sullivan, Jackson and Bradford",Retail,SMB,Turkey,2024-12-28
COMP_0005,Stewart-Mendoza,Manufacturing,SMB,UK,2023-12-18
COMP_0006,"Houston, Medina and Allen",Retail,SMB,UK,2024-05-20
COMP_0007,Bishop Group,Retail,SMB,Germany,2025-12-15
COMP_0008,"Reynolds, Sullivan and James",Healthcare,Mid-Market,Turkey,2023-12-30
COMP_0009,"Ross, Johnson and Gonzalez",Manufacturing,Mid-Market,Turkey,2025-10-11
COMP_0010,"Tran, Ramirez and Clark",Manufacturing,SMB,USA,2025-01-19
COMP_0011,Perez-Reed,Technology,SMB,Turkey,2023-05-07
COMP_0012,Hunt-Griffith,Healthcare,Mid-Market,USA,2024-05-05
COMP_0013,Morales LLC,Logistics,SMB,Turkey,2023-11-08
COMP_0014,"Wheeler, Woods and Mendoza",Finance,SMB,Turkey,2024-10-15
COMP_0015,Mcguire Ltd,Logistics,Mid-Market,USA,2024-03-28
COMP_0016,Chapman-Sanchez,Retail,SMB,Turkey,2024-09-05
COMP_0017,Woods PLC,Logistics,SMB,Turkey,2024-11-13
COMP_0018,Patton Ltd,Technology,Enterprise,USA,2023-04-12
COMP_0019,Stewart-Chang,Finance,SMB,UK,2024-04-09
COMP_0020,"Green, Green and Williams",Healthcare,SMB,Turkey,2023-11-18
COMP_0021,Knight and Sons,Logistics,SMB,France,2026-01-31
COMP_0022,Hale Ltd,Logistics,SMB,UK,2025-01-14
COMP_0023,"Peterson, Arroyo and Carr",Retail,Mid-Market,Turkey,2024-07-13
COMP_0024,Jackson and Sons,Finance,SMB,France,2024-11-01
COMP_0025,Hayes-Hill,Logistics,Mid-Market,UK,2023-05-27
COMP_0026,"Haynes, Brewer and Garza",Technology,SMB,Turkey,2026-02-07
COMP_0027,Cruz-Harvey,Healthcare,SMB,Turkey,2026-01-08
COMP_0028,Gregory PLC,Retail,Enterprise,Turkey,2024-08-22
COMP_0029,Wong-Wallace,Logistics,SMB,USA,2025-02-05
COMP_0030,Mendez-Ayala,Logistics,SMB,Turkey,2023-06-23
COMP_0031,"Richards, Robinson and Turner",Manufacturing,Mid-Market,Germany,2025-02-23
COMP_0032,Lopez Group,Logistics,Mid-Market,USA,2024-06-03
COMP_0033,Smith-Webb,Finance,SMB,France,2024-12-23
COMP_0034,Mcfarland-Burton,Manufacturing,Mid-Market,Turkey,2025-12-04
COMP_0035,Walsh-Johnson,Technology,Enterprise,Turkey,2023-03-16
COMP_0036,"Jimenez, Zimmerman and Watson",Manufacturing,Mid-Market,Germany,2023-11-12
COMP_0037,Baxter-Bradford,Technology,SMB,UK,2023-04-04
COMP_0038,"Little, Lee and Daugherty",Finance,Mid-Market,France,2023-12-04
COMP_0039,Barrett Group,Technology,Mid-Market,Turkey,2026-02-15
COMP_0040,"Cline, Sanchez and Hinton",Retail,Mid-Market,USA,2023-04-07
COMP_0041,Johnson-Jones,Healthcare,SMB,Germany,2023-05-04
COMP_0042,"Cruz, Williams and Taylor",Finance,SMB,USA,2023-12-26
COMP_0043,Newman-Koch,Logistics,SMB,Germany,2023-06-24
COMP_0044,Mcguire Inc,Manufacturing,Mid-Market,Turkey,2024-02-05
COMP_0045,Williams-Hanson,Logistics,SMB,UK,2024-12-01
COMP_0046,Davis-Park,Retail,SMB,Turkey,2024-06-06
COMP_0047,Moore-King,Manufacturing,Mid-Market,USA,2025-07-10
COMP_0048,Jenkins Group,Retail,Enterprise,UK,2023-04-19
COMP_0049,Harvey-Rivers,Finance,SMB,France,2025-07-08
COMP_0050,Reed PLC,Healthcare,SMB,Turkey,2024-04-18
COMP_0051,Hicks and Sons,Retail,Enterprise,Turkey,2025-03-27
COMP_0052,Chen-Kelly,Finance,Mid-Market,France,2025-12-07
COMP_0053,"Miller, Griffin and Smith",Retail,Mid-Market,Turkey,2025-12-31
COMP_0054,Sanders and Sons,Finance,Enterprise,Turkey,2025-08-31
COMP_0055,Wilson-Harrington,Retail,Enterprise,Germany,2025-03-01
COMP_0056,Grimes-Obrien,Manufacturing,Enterprise,USA,2023-07-18
COMP_0057,"Collins, Carter and Turner",Logistics,SMB,Turkey,2023-04-23
COMP_0058,White Ltd,Logistics,Mid-Market,Germany,2023-12-31
COMP_0059,Novak LLC,Retail,SMB,Turkey,2025-01-19
COMP_0060,Rosales and Sons,Technology,SMB,UK,2023-04-13
COMP_0061,Howard-Bailey,Manufacturing,Mid-Market,Turkey,2025-07-20
COMP_0062,Bishop and Sons,Logistics,Mid-Market,Turkey,2023-04-21
COMP_0063,Anderson-Stafford,Technology,Enterprise,Turkey,2023-09-02
COMP_0064,Sullivan-Jones,Manufacturing,SMB,Germany,2025-06-15
COMP_0065,Weiss-Jones,Retail,SMB,France,2025-09-06
COMP_0066,Chandler-Cooper,Retail,Mid-Market,Turkey,2026-03-04
COMP_0067,Hall LLC,Finance,Mid-Market,Turkey,2025-08-08
COMP_0068,Howell-Snow,Technology,Mid-Market,Turkey,2026-02-06
COMP_0069,"Long, Holmes and Holt",Finance,SMB,USA,2026-01-19
COMP_0070,Murphy-Reynolds,Logistics,Mid-Market,UK,2025-05-29
COMP_0071,"Oliver, Smith and Wall",Technology,SMB,Turkey,2023-08-12
COMP_0072,Calderon-Mason,Technology,SMB,Turkey,2024-01-14
COMP_0073,Fields-Young,Finance,SMB,Turkey,2024-09-21
COMP_0074,"Arnold, Friedman and Nguyen",Finance,SMB,France,2025-03-21
COMP_0075,Torres-Hooper,Finance,Mid-Market,USA,2024-12-19
COMP_0076,Sosa LLC,Technology,SMB,France,2023-09-17
