revenue_id,deal_id,company_id,revenue_date,amount,revenue_type
REV_00001,DEAL_0023,COMP_0059,2024-07-30,17943.37,Recurring
REV_00002,DEAL_0026,COMP_0008,2025-05-08,6454.55,One-time
REV_00003,DEAL_0026,COMP_0008,2025-06-07,6454.55,One-time
REV_00004,DEAL_0026,COMP_0008,2025-07-07,6454.55,Recurring
REV_00005,DEAL_0026,COMP_0008,2025-08-06,6454.55,Recurring
REV_00006,DEAL_0026,COMP_0008,2025-09-05,6454.55,Recurring
REV_00007,DEAL_0026,COMP_0008,2025-10-05,6454.55,One-time
REV_00008,DEAL_0026,COMP_0008,2025-11-04,6454.55,One-time
REV_00009,DEAL_0026,COMP_0008,2025-12-04,6454.55,Recurring
REV_00010,DEAL_0026,COMP_0008,2026-01-03,6454.55,Recurring
REV_00011,DEAL_0026,COMP_0008,2026-02-02,6454.55,Recurring
REV_00012,DEAL_0026,COMP_0008,2026-03-04,6454.55,One-time
REV_00013,DEAL_0026,COMP_0008,2026-04-03,6454.55,One-time
REV_00014,DEAL_0034,COMP_0255,2025-02-13,14540.92,Recurring
REV_00015,DEAL_0034,COMP_0255,2025-03-15,14540.92,Recurring
REV_00016,DEAL_0043,COMP_0292,2024-10-30,39244.77,One-time
REV_00017,DEAL_0043,COMP_0292,2024-11-29,39244.77,Recurring
REV_00018,DEAL_0043,COMP_0292,2024-12-29,39244.77,One-time
REV_00019,DEAL_0043,COMP_0292,2025-01-28,39244.77,Recurring
REV_00020,DEAL_0043,COMP_0292,2025-02-27,39244.77,One-time
REV_00021,DEAL_0046,COMP_0015,2025-10-01,13469.51,One-time
REV_00022,DEAL_0046,COMP_0015,2025-10-31,13469.51,Recurring
REV_00023,DEAL_0046,COMP_0015,2025-11-30,13469.51,Recurring
REV_00024,DEAL_0046,COMP_0015,2025-12-30,13469.51,Recurring
REV_00025,DEAL_0046,COMP_0015,2026-01-29,13469.51,One-time
REV_00026,DEAL_0058,COMP_0247,2024-05-22,17807.69,One-time
REV_00027,DEAL_0058,COMP_0247,2024-06-21,17807.69,One-time
REV_00028,DEAL_0062,COMP_0148,2025-11-06,27635.81,Recurring
REV_00029,DEAL_0062,COMP_0148,2025-12-06,27635.81,One-time
REV_00030,DEAL_0062,COMP_0148,2026-01-05,27635.81,Recurring
REV_00031,DEAL_0063,COMP_0129,2024-10-30,7122.66,Recurring
REV_00032,DEAL_0063,COMP_0129,2024-11-29,7122.66,Recurring
REV_00033,DEAL_0063,COMP_0129,2024-12-29,7122.66,One-time
